x,y,WeightedExpectedGoals,GoalProbability
0,0,0,0
0,2,0,0
0,4,0,0
0,6,0,0
0,8,0.000312048705926002,0
0,10,0.00125581828464178,0
0,12,0.00352348188532716,0.001
0,14,0.00689220376834043,0.003
0,16,0.00939907249996686,0.005
0,18,0.00893619660330148,0.007
0,20,0.00592326626053701,0.007
0,22,0.00273722577240385,0.005
0,24,0.000881862368384828,0.002
0,26,0.000198075985404776,0
0,28,0,0
0,30,0,0
0,32,0,0
0,34,0.0000923226318217734,0
0,36,0.000139283488637026,0
0,38,0.00014649807584404,0
0,40,0.000107424917766139,0
0,42,0,0
0,44,0,0
0,46,0,0
0,48,0,0
0,50,0,0
0,52,0,0
0,54,0,0
0,56,0,0
0,58,0,0
0,60,0,0
0,62,0,0
0,64,0,0
0,66,0,0
0,68,0,0
0,70,0,0
0,72,0,0
0,74,0,0
0,76,0,0
0,78,0,0
0,80,0,0
2,0,0,0
2,2,0,0
2,4,0,0
2,6,0.000219127252903329,0
2,8,0.00126491104731001,0
2,10,0.0050905464162828,0.001
2,12,0.0142826779188884,0.003
2,14,0.0279380254470686,0.006
2,16,0.0380997915193889,0.01
2,18,0.0362234920055418,0.013
2,20,0.0240103701339772,0.013
2,22,0.0110955342955864,0.009
2,24,0.00357469020314237,0.003
2,26,0.000802914728974171,0.001
2,28,0.000125730680015628,0
2,30,0.000113807399004309,0
2,32,0.000353248485038997,0
2,34,0.000764418066683537,0
2,36,0.00115324718331679,0.001
2,38,0.00121298292411925,0.001
2,40,0.000889462814610351,0.001
2,42,0.000454717564989567,0
2,44,0.00016206770775229,0
2,46,0,0
2,48,0,0
2,50,0,0
2,52,0,0
2,54,0,0
2,56,0,0
2,58,0,0
2,60,0,0
2,62,0,0
2,64,0,0
2,66,0,0
2,68,0,0
2,70,0,0
2,72,0,0
2,74,0,0
2,76,0,0
2,78,0,0
2,80,0,0
4,0,0.0000667497042257515,0
4,2,0.000146543428344424,0
4,4,0.000224297366355281,0
